LATENTVIEW,BUY,325,600,482,2024-05-22 00:05:09.886073,251,1,NA
DCXINDIA,BUY,160,1250,332,2024-05-22 00:13:24.376578,253,2,NA
GATEWAY,BUY,62,3000,108.5,2024-05-22 00:18:01.482315,254,10,NA
DALMIASUG,BUY,200,1500,376.95,2024-05-24 12:04:12.260042,368,2,MEDIUM
ITC,BUY,225,1200,440,2024-05-23 13:02:40.600724,365,1,MEDIUM
MAHLOG,BUY,325,800,450.95,2024-05-22 00:25:23.14379,256,10,NA
TVSSCS,BUY,145,1200,173.75,2024-05-22 00:28:58.783447,257,1,NA
APOLLOTYRE,BUY,200,1500,482.6,2024-05-22 15:44:08.837337,294,1,NA
MSUMI,BUY,45,5000,68.5,2024-05-22 22:40:54.932586,298,1,NA
MOTHERSON,BUY,65,3600,133.7,2024-05-22 22:44:40.513047,299,1,NA
JAMNAAUTO,BUY,70,3000,132.15,2024-05-22 22:50:08.70144,300,1,NA
ASKAUTOLTD,BUY,245,1000,304.5,2024-05-22 22:55:19.143389,301,2,NA
NRBBEARING,BUY,125,2000,349.5,2024-05-22 22:58:34.91865,302,2,NA
JTEKTINDIA,BUY,75,2000,164.6,2024-05-22 23:01:20.394988,303,1,NA
MINDACORP,BUY,180,1200,427,2024-05-22 23:04:48.212617,304,2,NA
SSWL,BUY,125,1800,223,2024-05-22 23:08:38.235746,305,1,NA
GABRIEL,BUY,140,1600,378.4,2024-05-22 23:13:27.681426,306,1,NA
SUPRAJIT,BUY,250,1000,407.8,2024-05-22 23:22:45.942859,308,1,NA
PRICOLLTD,BUY,180,1000,461.5,2024-05-22 23:28:14.841069,309,1,NA
INDIGO,BUY,1800,150,4359,2024-05-22 23:45:58.332413,312,10,NA
THOMASCOOK,BUY,72,3500,216,2024-05-23 00:12:42.448425,315,1,NA
BLS,BUY,120,2000,322.5,2024-05-23 00:19:22.950703,317,1,NA
LEMONTREE,BUY,65,3000,149.85,2024-05-23 00:25:01.370001,318,10,NA
MHRIL,BUY,180,1500,403.5,2024-05-23 00:28:24.41323,319,10,NA
JUNIPER,BUY,365,800,442,2024-05-23 00:33:01.373852,320,10,NA
SAMHI,BUY,135,1600,203.45,2024-05-23 00:36:19.156486,321,1,NA
EIHOTEL,BUY,185,1200,479.9,2024-05-23 00:39:49.828909,322,2,NA
RBA,BUY,85,2400,103.4,2024-05-23 00:44:04.185001,323,10,NA
DEVYANI,BUY,115,2000,152.8,2024-05-23 00:47:26.220748,324,1,NA
JUBLFOOD,BUY,360,700,478.55,2024-05-23 00:53:06.473975,325,2,NA
TTML,BUY,50,5000,76.8,2024-05-23 12:17:25.377415,359,10,NA
HFCL,BUY,55,4000,102.5,2024-05-23 12:23:45.359035,360,1,NA
RAILTEL,BUY,170,1500,429,2024-05-23 12:29:32.644245,361,10,NA
OPTIEMUS,BUY,140,1200,275.95,2024-05-23 12:39:29.333392,362,10,NA
ITI,BUY,120,2000,317.8,2024-05-23 12:44:09.162985,363,10,NA
STLTECH,BUY,100,2000,130.2,2024-05-23 12:56:28.622785,364,2,NA
BAJAJHIND,BUY,14,12000,32.55,2024-05-24 11:37:57.411898,366,1,NA
RENUKA,BUY,20,10000,41.95,2024-05-24 11:56:27.250569,367,1,NA
TRIVENI,BUY,175,1500,347.55,2024-05-24 12:06:54.667564,369,1,NA
BALRAMCHIN,BUY,180,1500,377.8,2024-05-24 12:09:49.304324,370,1,NA
HONASA,BUY,260,1000,426.5,2024-05-24 12:17:25.064907,371,10,NA
BAJAJCON,BUY,120,1000,243.1,2024-05-24 12:20:49.004424,372,1,NA
BIKAJI,BUY,325,1000,537,2024-05-24 12:25:26.902054,373,1,NA
UTIAMC,BUY,650,500,925.9,2024-05-27 00:22:13.777694,374,10,NA
INFIBEAM,BUY,15,10000,31.65,2024-05-27 00:31:02.146564,375,1,NA
PAYTM,BUY,275,500,341,2024-05-27 00:34:51.106711,376,1,NA
MUTHOOTMF,BUY,180,1200,224,2024-05-27 00:38:27.592514,377,10,NA
FUSION,BUY,325,600,460.5,2024-05-27 00:42:00.154917,378,10,NA
IFCI,BUY,15,10000,60.05,2024-05-27 00:44:10.369434,379,10,NA
HUDCO,BUY,70,2400,256.95,2024-05-27 00:46:27.656098,380,10,NA
IDFC,BUY,50,4000,114.8,2024-05-27 00:48:20.906923,381,10,NA
CHOICEIN,BUY,150,1200,344,2024-05-27 00:52:11.963382,382,10,NA
EDELWEISS,BUY,35,5000,81.4,2024-05-27 00:56:34.165326,383,1,NA
UJJIVANSFB,BUY,24,10000,52.9,2024-05-27 01:01:12.993993,384,10,NA
ESAFSFB,BUY,45,2800,54.5,2024-05-27 01:14:05.653673,386,10,NA
EQUITASBNK,BUY,50,3000,95.6,2024-05-27 01:16:58.350333,388,10,NA
IIFLSEC,BUY,60,3000,196.1,2024-05-27 01:19:14.399728,389,2,NA
IBULHSGFIN,BUY,85,2400,165.45,2024-05-27 01:21:57.759878,390,2,NA
APTUS,BUY,225,1000,308,2024-05-27 01:24:39.50858,391,2,NA
UCOBANK,BUY,28,7000,56.85,2024-05-27 01:26:52.504307,392,10,NA
CENTRALBK,BUY,24,7000,65.75,2024-05-27 01:28:28.13037,393,10,NA
MAHABANK,BUY,28,7000,68.2,2024-05-27 01:30:19.548933,394,10,NA
DCBBANK,BUY,80,2000,129.3,2024-05-27 01:49:07.441018,398,10,NA
BANDHANBNK,BUY,160,1200,185.6,2024-05-27 01:52:51.677509,399,10,NA
KTKBANK,BUY,125,1200,221.1,2024-05-27 01:55:47.622737,400,10,NA
RBLBANK,BUY,120,1200,254.95,2024-05-27 01:57:27.099158,401,10,NA
SOUTHBANK,BUY,12.5,10000,27.65,2024-05-27 01:59:44.891097,402,1,NA
CSBBANK,BUY,170,1000,326,2024-05-27 02:02:51.709599,403,10,NA
TMB,BUY,350,600,474.2,2024-05-27 02:04:57.622444,404,10,NA
FEDERALBNK,BUY,85,2000,163,2024-05-27 02:08:05.300022,405,2,NA
KARURVYSYA,BUY,90,2000,197.45,2024-05-27 02:10:34.476214,406,2,NA
INFY,BUY,1250,200,1423.75,2024-05-14 11:24:56.9135,40,5,NA
ARE&M,BUY,550,400,1064,2024-05-14 11:33:53.605627,42,1,NA
ASIANPAINT,BUY,2500,200,2878,2024-05-14 11:38:17.943277,44,1,NA
ASTERDM,BUY,225,1200,341.9,2024-05-14 11:49:04.172036,46,10,NA
EXIDEIND,BUY,180,1500,455.2,2024-05-14 12:16:14.241201,54,1,NA
GLENMARK,BUY,500,600,1035.5,2024-05-14 12:26:42.956774,56,1,NA
GODREJPROP,BUY,1450,200,2752,2024-05-14 12:33:04.677846,58,5,NA
IDEA,BUY,7,25000,12.65,2024-05-14 12:41:04.504883,60,10,NA
IOC,BUY,80,2500,158.15,2024-05-14 12:47:27.766269,62,10,NA
JKTYRE,BUY,150,2000,382,2024-05-14 12:51:53.385839,64,2,NA
SOBHA,BUY,700,1000,1638,2024-05-14 13:09:35.212232,68,10,NA
SPARC,BUY,180,1200,214.7,2024-05-14 13:14:11.981135,70,1,NA
THYROCARE,BUY,475,500,623.75,2024-05-15 10:47:18.579023,106,10,NA
WIPRO,BUY,375,500,452.7,2024-05-15 10:50:26.923161,108,2,NA
JPPOWER,BUY,10,10000,19.05,2024-05-16 21:09:36.384847,110,10,NA
RPOWER,BUY,12,15000,25.9,2024-05-16 21:11:37.824601,111,10,NA
SJVN,BUY,50,5000,130.1,2024-05-16 21:14:09.383213,112,10,NA
NLCINDIA,BUY,120,2000,229.3,2024-05-16 21:16:48.514001,113,10,NA
HINDOILEXP,BUY,125,2400,193.25,2024-05-16 21:25:40.794173,115,10,NA
ADVENZYMES,BUY,225,1200,380,2024-05-16 21:31:46.533888,116,2,NA
NIACL,BUY,110,2400,234.35,2024-05-16 21:37:52.1099,117,5,NA
UTKARSHBNK,BUY,37.5,6000,52.85,2024-05-27 01:04:31.268441,385,10,NA
GICRE,BUY,125,2400,341.55,2024-05-16 21:40:27.047907,118,5,NA
ICICIPRULI,BUY,350,750,590.15,2024-05-16 21:44:50.467914,119,10,NA
PPLPHARMA,BUY,75,2000,149.25,2024-05-17 00:29:18.118974,123,10,NA
AARTIDRUGS,BUY,325,800,485.5,2024-05-17 00:33:44.736952,124,10,NA
HIKAL,BUY,200,1000,295.55,2024-05-17 00:57:44.186708,127,2,NA
BLUEJET,BUY,315,1000,362.9,2024-05-18 13:38:21.799854,162,2,NA
SUPRIYA,BUY,240,1000,378.5,2024-05-18 13:48:02.188733,163,2,NA
LAURUSLABS,BUY,260,1000,442.15,2024-05-18 13:56:41.960461,165,2,NA
IBREALEST,BUY,50,2000,125.7,2024-05-20 16:23:20.019218,220,2,NA
GUFICBIO,BUY,165,1500,341.65,2024-05-18 14:02:50.510046,166,1,NA
GRANULES,BUY,270,1000,407,2024-05-18 14:03:56.205067,169,1,NA
FDC,BUY,275,1000,483,2024-05-18 14:29:27.492908,170,1,NA
HINDWAREAP,BUY,275,1000,399.05,2024-05-18 14:34:48.491636,171,2,NA
GREENPLY,BUY,140,1200,251.15,2024-05-18 23:49:32.970176,174,1,NA
GREENPANEL,BUY,220,1000,300,2024-05-18 23:53:33.793289,175,1,NA
NSLNISP,BUY,42.5,5000,65.6,2024-05-19 00:02:33.325218,176,10,NA
SUNFLAG,BUY,105,2000,207.85,2024-05-19 00:26:49.125354,178,10,NA
SARDAEN,BUY,125,2000,268.8,2024-05-19 00:30:01.720901,179,1,NA
SANGHIIND,BUY,60,5000,92.5,2024-05-20 11:37:19.359361,180,10,NA
PRSMJOHNSN,BUY,95,2500,145,2024-05-20 11:44:18.32496,181,10,NA
HEIDELBERG,BUY,160,2000,195.9,2024-05-20 12:25:12.498492,182,10,NA
NUVOCO,BUY,260,800,323.5,2024-05-20 15:23:51.798886,215,10,NA
SAGCEM,BUY,170,1200,218.6,2024-05-20 15:28:52.862965,216,2,NA
ORIENTCEM,BUY,120,1500,214,2024-05-20 15:32:13.569342,217,1,NA
STARCEMENT,BUY,125,1500,224,2024-05-20 15:35:28.530069,218,1,NA
J&KBANK,BUY,60,2500,130.1,2024-05-27 02:13:01.146377,407,1,NA
CUB,BUY,80,1500,144.7,2024-05-27 02:16:08.9078,408,1,NA
FEDFINA,BUY,100,2400,121.85,2024-05-27 12:51:25.657236,442,10,NA
MASFIN,BUY,200,1200,291.8,2024-05-27 12:55:51.150971,443,10,NA
MANAPPURAM,BUY,100,2000,181.25,2024-05-27 13:01:01.360685,444,2,NA
M&MFIN,BUY,170,1200,270,2024-05-27 13:07:38.559358,445,2,NA
IIFL,BUY,225,800,397.35,2024-05-27 13:11:01.794556,446,2,NA
CGCL,BUY,150,1200,222.25,2024-05-27 13:25:13.329533,447,1,NA
LTF,BUY,80,3000,158.15,2024-05-27 14:14:18.028795,448,10,NA
RELIGARE,BUY,120,2500,212.55,2024-05-28 00:37:54.649464,449,10,NA
ABCAPITAL,BUY,130,2000,229.75,2024-05-28 00:43:23.734393,450,10,NA
JMFINANCIL,BUY,60,3000,80.3,2024-05-28 00:49:03.110074,451,1,NA
KANSAINER,BUY,245,1000,278.25,2024-05-18 23:39:54.514057,172,1,HIGH
UNIPARTS,BUY,475,300,522,2024-05-13 13:08:55.657096,39,10,MEDIUM
INDOCO,BUY,285,800,319.75,2024-05-17 01:03:54.028904,128,2,MEDIUM
SFL,BUY,800,300,902,2024-05-14 12:58:38.836138,66,5,MEDIUM
SBFC,BUY,70,5000,83.4,2024-05-27 12:46:28.760128,441,10,MEDIUM
DABUR,BUY,450,750,549,2024-05-14 12:04:52.62138,52,1,HIGH
